"(h)osteria or (h)ostaria –ae f."	"(h)osteria or (h)ostaria –ae f."	"a (female) innkeeper"	"a (female) innkeeper"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#hosteria"	"15105"
"(h)umesco umescere — —"	"(h)ūmēscō ūmēscere — —"	"to grow moist, be made wet"	"to grow moist, be made wet"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#humesco"	"11140"
"[of uncertain form and meaning]"	"[of uncertain form and meaning]"	""	""	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#of"	"9174"
"a"	"ā"	"ah! (expletive of distress, pity, or entreaty)"	"expletive of distress, pity, or entreaty"	"1"	"1"	"Interjection"	"Logeion"	"http://logeion.uchicago.edu/index.html#a"	"2718"
"a ab abs"	"ā ab abs"	"from, by"	"(away) from; by (agency) + abl."	"1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#a"	"16"
"ab usque or abusque (+ abl.)"	"ab ūsque or abūsque (+ abl.)"	"all the way from "	"(+ abl.) all the way from"	"1"	"1"	"Preposition"	"Logeion"	"http://logeion.uchicago.edu/index.html#ab"	"11140"
"ab-lego -legare"	"ab-lēgō -lēgāre"	"to send off; banish"	"to send off, send out of the way, banish, send into exile"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#ablego"	"11140"
"abavus abavi m. "	"abavus abavī m. "	"a grandfather’s grandfather"	"a grandfather’s grandfather"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abavus"	"9174"
"abba (indecl.)"	"abba (indecl.)"	"father"	"father"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abba"	"8014"
"abbas –atis m."	"abbās –ātis m."	"an abbot"	"the head of an ecclesiastical community, an abbot"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abbas"	"7186"
"abbatissa –ae f."	"abbātissa –ae f."	"abbotess"	"abbotess, the head of an ecclesiastical community"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#abbatissa"	"11140"
"abdico abdicare abdicavi abdicatus"	"abdīcō abdīcāre abdīcāvī abdīcātus"	"to resign"	"to resign"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abdico"	"5290"
"abditus –a –um"	"abditus –a –um"	"hidden"	"removed, concealed, hidden"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#abditus"	"5645"
"abdo abdere abdidi abditum"	"abdō abdere abdidī abditum"	"to withdraw; conceal"	"to put away, remove, set aside"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abdo"	"1771"
"abduco abducere abduxi abductus"	"abdūcō abdūcere abdūxī abductus"	"to lead/take away"	"to lead away, carry off; detach; entice, seduce, charm; withdraw"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abduco"	"1994"
"abeo abire abii abitum"	"abeō abīre abiī abitum"	"to go away"	"to go away"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#abeo"	"633"
